Date,Year,Month,Day,Fert_TP_mg/d,Inflow_TP_mg/d,Fert_TN_mg/d,Inflow_TN_mg/d
5/10/71,1971,5,10,134782.6087,0.020181406,1673913.043,0.081632653
5/11/71,1971,5,11,134782.6087,0.12244898,1673913.043,0.455782313
5/12/71,1971,5,12,134782.6087,0,1673913.043,0
5/13/71,1971,5,13,134782.6087,0,1673913.043,0
5/14/71,1971,5,14,134782.6087,0,1673913.043,0
5/15/71,1971,5,15,134782.6087,0.016520894,1673913.043,0.077907353
5/16/71,1971,5,16,134782.6087,0.002885396,1673913.043,0.014547203
5/17/71,1971,5,17,134782.6087,0.052478134,1673913.043,0.283965015
5/18/71,1971,5,18,134782.6087,0,1673913.043,0
5/19/71,1971,5,19,134782.6087,0.004961985,1673913.043,0.027370948
5/20/71,1971,5,20,134782.6087,0.08707483,1673913.043,0.454421769
5/21/71,1971,5,21,134782.6087,0,1673913.043,0
5/22/71,1971,5,22,134782.6087,0.001682127,1673913.043,0.007866419
5/23/71,1971,5,23,134782.6087,0.005952381,1673913.043,0.026360544
5/24/71,1971,5,24,134782.6087,0.001530612,1673913.043,0.004251701
5/25/71,1971,5,25,134782.6087,0,1673913.043,0
5/26/71,1971,5,26,134782.6087,0,1673913.043,0
5/27/71,1971,5,27,134782.6087,0,1673913.043,0
5/28/71,1971,5,28,134782.6087,0.022762951,1673913.043,0.024175824
5/29/71,1971,5,29,134782.6087,0,1673913.043,0
5/30/71,1971,5,30,134782.6087,0,1673913.043,0
5/31/71,1971,5,31,134782.6087,0,1673913.043,0
6/1/71,1971,6,1,134782.6087,0,1673913.043,0
6/2/71,1971,6,2,134782.6087,0,1673913.043,0
6/3/71,1971,6,3,134782.6087,0,1673913.043,0
6/4/71,1971,6,4,134782.6087,0.00174397,1673913.043,0.003129252
6/5/71,1971,6,5,134782.6087,0.001228184,1673913.043,0.003038138
6/6/71,1971,6,6,134782.6087,0.051020408,1673913.043,0.165306122
6/7/71,1971,6,7,134782.6087,0,1673913.043,0
6/8/71,1971,6,8,134782.6087,0,1673913.043,0
6/9/71,1971,6,9,134782.6087,0,1673913.043,0
6/10/71,1971,6,10,134782.6087,0.008967223,1673913.043,0.017757752
6/11/71,1971,6,11,134782.6087,0.009129968,1673913.043,0.015075955
6/12/71,1971,6,12,134782.6087,0.079591837,1673913.043,0.111953353
6/13/71,1971,6,13,134782.6087,0,1673913.043,0
6/14/71,1971,6,14,134782.6087,0,1673913.043,0
6/15/71,1971,6,15,134782.6087,0.00293096,1673913.043,0.002768129
6/16/71,1971,6,16,134782.6087,0,1673913.043,0
6/17/71,1971,6,17,134782.6087,0,1673913.043,0
6/18/71,1971,6,18,134782.6087,0,1673913.043,0
6/19/71,1971,6,19,134782.6087,0.005102041,1673913.043,0.010642136
6/20/71,1971,6,20,134782.6087,0,1673913.043,0
6/21/71,1971,6,21,134782.6087,0.007936508,1673913.043,0.021258503
6/22/71,1971,6,22,134782.6087,0.033163265,1673913.043,0.100765306
6/23/71,1971,6,23,134782.6087,0,1673913.043,0
6/24/71,1971,6,24,134782.6087,0,1673913.043,0
6/25/71,1971,6,25,134782.6087,0,1673913.043,0
6/26/71,1971,6,26,134782.6087,0.038994169,1673913.043,0.081086006
6/27/71,1971,6,27,134782.6087,0.001903619,1673913.043,0.003584291
6/28/71,1971,6,28,134782.6087,0.016763848,1673913.043,0.028498542
6/29/71,1971,6,29,134782.6087,0.069387755,1673913.043,0.106122449
6/30/71,1971,6,30,134782.6087,0.000646595,1673913.043,0.001046676
7/1/71,1971,7,1,134782.6087,0,1673913.043,0
7/2/71,1971,7,2,134782.6087,0,1673913.043,0
7/3/71,1971,7,3,134782.6087,0.008843537,1673913.043,0.017414966
7/4/71,1971,7,4,134782.6087,0,1673913.043,0
7/5/71,1971,7,5,134782.6087,0,1673913.043,0
7/6/71,1971,7,6,134782.6087,0.024234694,1673913.043,0.052295918
7/7/71,1971,7,7,134782.6087,0,1673913.043,0
7/8/71,1971,7,8,134782.6087,0,1673913.043,0
7/9/71,1971,7,9,134782.6087,0.019614512,1673913.043,0.040589569
7/10/71,1971,7,10,134782.6087,0.13537415,1673913.043,0.278231293
7/11/71,1971,7,11,134782.6087,0.002049927,1673913.043,0.004190962
7/12/71,1971,7,12,134782.6087,0.006195335,1673913.043,0.003279883
7/13/71,1971,7,13,134782.6087,0,1673913.043,0
7/14/71,1971,7,14,134782.6087,0,1673913.043,0
7/15/71,1971,7,15,134782.6087,0.005453906,1673913.043,0.013335679
7/16/71,1971,7,16,134782.6087,0,1673913.043,0
7/17/71,1971,7,17,134782.6087,0,1673913.043,0
7/18/71,1971,7,18,134782.6087,0,1673913.043,0
7/19/71,1971,7,19,134782.6087,0,1673913.043,0
7/20/71,1971,7,20,134782.6087,0,1673913.043,0
7/21/71,1971,7,21,134782.6087,0,1673913.043,0
7/22/71,1971,7,22,134782.6087,0.031868132,1673913.043,0.067817896
7/23/71,1971,7,23,134782.6087,0.014857143,1673913.043,0.02922449
7/24/71,1971,7,24,134782.6087,0.003691814,1673913.043,0.006512268
7/25/71,1971,7,25,134782.6087,0.002886003,1673913.043,0.004329004
7/26/71,1971,7,26,134782.6087,0.005102041,1673913.043,0.009247449
7/27/71,1971,7,27,134782.6087,0.0011152,1673913.043,0.0025092
7/28/71,1971,7,28,134782.6087,0.012244898,1673913.043,0.035066408
7/29/71,1971,7,29,134782.6087,0,1673913.043,0
7/30/71,1971,7,30,134782.6087,0,1673913.043,0
7/31/71,1971,7,31,134782.6087,0.014965986,1673913.043,0.063735018
8/1/71,1971,8,1,134782.6087,0,1673913.043,0
8/2/71,1971,8,2,134782.6087,0,1673913.043,0
8/3/71,1971,8,3,134782.6087,0,1673913.043,0
8/4/71,1971,8,4,134782.6087,0,1673913.043,0
8/5/71,1971,8,5,134782.6087,0,1673913.043,0
8/6/71,1971,8,6,134782.6087,0,1673913.043,0
8/7/71,1971,8,7,134782.6087,0,1673913.043,0
8/8/71,1971,8,8,134782.6087,0,1673913.043,0
8/9/71,1971,8,9,134782.6087,0,1673913.043,0
8/10/71,1971,8,10,134782.6087,0,1673913.043,0
8/11/71,1971,8,11,134782.6087,0,1673913.043,0
8/12/71,1971,8,12,134782.6087,0,1673913.043,0
8/13/71,1971,8,13,134782.6087,0,1673913.043,0
8/14/71,1971,8,14,134782.6087,0,1673913.043,0
8/15/71,1971,8,15,134782.6087,0,1673913.043,0
8/16/71,1971,8,16,134782.6087,0.001035994,1673913.043,0.002594569
8/17/71,1971,8,17,134782.6087,0.014640639,1673913.043,0.036823425
8/18/71,1971,8,18,134782.6087,0,1673913.043,0
8/19/71,1971,8,19,134782.6087,0.007197522,1673913.043,0.011777211
8/20/71,1971,8,20,134782.6087,0,1673913.043,0
8/21/71,1971,8,21,134782.6087,0,1673913.043,0
8/22/71,1971,8,22,134782.6087,0,1673913.043,0
8/23/71,1971,8,23,134782.6087,0.003240837,1673913.043,0.003780977
8/24/71,1971,8,24,134782.6087,0.018367347,1673913.043,0.035204082
8/25/71,1971,8,25,134782.6087,0,1673913.043,0
8/26/71,1971,8,26,134782.6087,0,1673913.043,0
8/27/71,1971,8,27,134782.6087,0,1673913.043,0
8/28/71,1971,8,28,134782.6087,0,1673913.043,0
8/29/71,1971,8,29,134782.6087,0,1673913.043,0
8/30/71,1971,8,30,134782.6087,0,1673913.043,0
