"Temp.Observed","Date","Temp.Seasonal","Temp.Trend","Temp.Random","Temp.Detrended"
-10.5,1979-03-24,-5.94004331906727,0.512034134971118,-5.07199081590385,-11.0120341349711
-11.75,1979-03-25,-6.55673667840559,0.513546666228879,-5.70680998782329,-12.2635466662289
-9,1979-03-26,-6.26545131433966,0.515059197486639,-3.24960788314698,-9.51505919748664
-10.5,1979-03-27,-5.59757020559287,0.5165717287444,-5.41900152315153,-11.0165717287444
-6.75,1979-03-28,-5.03206634910089,0.518084260002161,-2.23601791090127,-7.26808426000216
-6.25,1979-03-29,-4.98145610963018,0.519596791259922,-1.78814068162974,-6.76959679125992
-1.25,1979-03-30,-5.24573948718075,0.521109322517682,3.47463016466306,-1.77110932251768
-5.75,1979-03-31,-5.3844909498377,0.522621853775443,-0.888130903937745,-6.27262185377544
0,1979-04-01,-5.04771049760103,0.524134385033204,4.52357611256783,-0.524134385033204
-6,1979-04-02,-4.96171764883853,0.525646916290965,-1.56392926745244,-6.52564691629096
-7.75,1979-04-03,-4.77253331071433,0.527159447548726,-3.5046261368344,-8.27715944754873
-5.5,1979-04-04,-4.52909365344119,0.528671978806486,-1.4995783253653,-6.02867197880649
-12,1979-04-05,-3.57607952808295,0.530184510064247,-8.9541049819813,-12.5301845100642
-13,1979-04-06,-3.33583136017151,0.531697041322008,-10.1958656811505,-13.531697041322
-9,1979-04-07,-2.84115608904476,0.533209572579769,-6.69205348353501,-9.53320957257977
-9.5,1979-04-08,-2.2305233711095,0.534722103837529,-7.80419873272803,-10.0347221038375
-5.75,1979-04-09,-1.28903958934445,0.53623463509529,-4.99719504575084,-6.28623463509529
0.5,1979-04-10,-1.62947070119642,0.537747166353051,1.59172353484337,-0.0377471663530509
1.5,1979-04-11,-2.32096564283563,0.539259697610812,3.28170594522482,0.960740302389188
0.25,1979-04-12,-2.06368904666741,0.545917315237636,1.76777173142978,-0.295917315237636
0.5,1979-04-13,-1.59790181220132,0.55257493286446,1.54532687933686,-0.0525749328644602
1.25,1979-04-14,-1.45977415220332,0.559232550491285,2.15054160171204,0.690767449508715
-0.25,1979-04-15,-0.918455002843615,0.565890168118109,0.102564834725506,-0.815890168118109
4.25,1979-04-16,0.176055635877792,0.572547785744933,3.50139657837727,3.67745221425507
6.5,1979-04-17,1.05217780806185,0.579205403371757,4.86861678856639,5.92079459662824
9,1979-04-18,0.586810618543783,0.585863020998582,7.82732636045764,8.41413697900142
12.5,1979-04-19,0.980663287174651,0.592520638625406,10.9268160741999,11.9074793613746
4.5,1979-04-20,0.739409572848072,0.59917825625223,3.1614121708997,3.90082174374777
5,1979-04-21,0.79390053935128,0.605835873879055,3.60026358676967,4.39416412612095
4.5,1979-04-22,1.5294392284983,0.612493491505879,2.35806727999582,3.88750650849412
3,1979-04-23,2.0926374921134,0.619151109132703,0.288211398753898,2.3808488908673
5.5,1979-04-24,2.46860171317531,0.625808726759528,2.40558956006516,4.87419127324047
4.5,1979-04-25,3.17648082785424,0.632466344386352,0.691052827759405,3.86753365561365
0.5,1979-04-26,2.95670036806509,0.639123962013176,-3.09582433007827,-0.139123962013176
1,1979-04-27,3.25606643991053,0.64578157964,-2.90184801955053,0.35421842036
2.5,1979-04-28,3.24266655430916,0.652439197266825,-1.39510575157598,1.84756080273318
4,1979-04-29,2.73884113679289,0.659096814893649,0.602062048313461,3.34090318510635
4.25,1979-04-30,2.94778167672343,0.665754432520473,0.636463890756094,3.58424556747953
2.75,1979-05-01,3.18544562090929,0.672412050147298,-1.10785767105659,2.0775879498527
0.5,1979-05-02,2.98920725120983,0.679069667774122,-3.16827691898395,-0.179069667774122
-2.5,1979-05-03,3.32062845597846,0.685727285400946,-6.5063557413794,-3.18572728540095
0.25,1979-05-04,4.47970923521516,0.692384903027771,-4.92209413824293,-0.442384903027771
3.25,1979-05-05,4.86538575913272,0.699042520654595,-2.31442827978732,2.55095747934541
3.75,1979-05-06,4.72872185751837,0.705700138281419,-1.68442199579979,3.04429986171858
3,1979-05-07,5.00359574555366,0.712357755908243,-2.7159535014619,2.28764224409176
1.25,1979-05-08,4.24974622933364,0.719015373535068,-3.7187616028687,0.530984626464932
1.5,1979-05-09,5.19057756417744,0.725672991161892,-4.41625055533933,0.774327008838108
0.5,1979-05-10,5.43991953731912,0.732330608788716,-5.67225014610783,-0.232330608788716
2.5,1979-05-11,6.53181470195016,0.738988226415541,-4.7708029283657,1.76101177358446
6.75,1979-05-12,6.74595714082678,0.745645844042365,-0.741602984869141,6.00435415595764
4.5,1979-05-13,6.45797192012893,0.752303461669189,-2.71027538179812,3.74769653833081
4,1979-05-14,7.25722074198427,0.758961079296014,-4.01618182128029,3.24103892070399
5.5,1979-05-15,8.10008658511621,0.765618696922838,-3.36570528203905,4.73438130307716
11.75,1979-05-16,7.39827157718432,0.772276314549662,3.57945210826602,10.9777236854503
17.5,1979-05-17,7.11247280412266,0.778933932176487,9.60859326370085,16.7210660678235
4.75,1979-05-18,7.47880169063547,0.785591549803311,-3.51439324043878,3.96440845019669
3.5,1979-05-19,7.62917313033977,0.792249167430135,-4.92142229776991,2.70775083256986
5.5,1979-05-20,7.483799889193,0.798906785056959,-2.78270667424996,4.70109321494304
7,1979-05-21,7.6777883501739,0.805564402683784,-1.48335275285768,6.19443559731622
10.5,1979-05-22,8.34100437758511,0.812222020310608,1.34677360210428,9.68777797968939
9.75,1979-05-23,8.95422040499632,0.818879637937432,-0.0231000429337562,8.93112036206257
11,1979-05-24,9.69509600687563,0.825537255564257,0.479366737560113,10.1744627444357
14,1979-05-25,10.2253333108826,0.832194873191081,2.94247181592633,13.1678051268089
13.5,1979-05-26,9.83748550850657,0.838852490817905,2.82366200067552,12.6611475091821
15.5,1979-05-27,9.59252392013629,0.84551010844473,5.06196597141898,14.6544898915553
17.5,1979-05-28,10.083732544532,0.852167726071554,6.56409972939648,16.6478322739284
20.75,1979-05-29,10.2089837221191,0.858825343698378,9.68219093418249,19.8911746563016
13,1979-05-30,10.6150859635361,0.865482961325202,1.51943107513871,12.1345170386748
